,,,,TAE[DBOC] in kJ/mol ,,,,
,,,,HF,cc-pVQZ,cc-pVQZ,cc-pVQZ,
Filename,H,C,Electrons,∆CCSD,Best,cc-pVTZ,cc-pVDZ,
3.xyz,8,8,56,3.xyz,0.729166462,N/A,0.729166462,
4.xyz,8,8,56,4.xyz,0.757792026,N/A,0.757792026,
5.xyz,8,8,56,5.xyz,0.811516845,N/A,0.811516845,
6.xyz,8,8,56,6.xyz,0.84051628,N/A,0.84051628,
7.xyz,8,8,56,7.xyz,0.712182628,N/A,0.712182628,
8.xyz,8,8,56,8.xyz,0.782459649,N/A,0.782459649,
9.xyz,8,8,56,9.xyz,0.648613759,N/A,0.648613759,
10.xyz,8,8,56,10.xyz,0.782837721,N/A,0.782837721,
11.xyz,8,8,56,11.xyz,0.797694375,N/A,0.797694375,
12.xyz,8,8,56,12.xyz,0.649731435,N/A,0.649731435,
14.xyz,8,8,56,14.xyz,0.854904545,N/A,0.854904545,
15.xyz,8,8,56,15.xyz,0.849275473,N/A,0.849275473,
16.xyz,8,8,56,16.xyz,0.794311681,N/A,0.794311681,
17.xyz,8,8,56,17.xyz,0.678197106,N/A,0.678197106,
18.xyz,8,8,56,18.xyz,0.832621927,N/A,0.832621927,
19.xyz,8,8,56,19.xyz,0.667697206,N/A,0.667697206,
20.xyz,8,8,56,20.xyz,0.730427228,N/A,0.730427228,
21.xyz,8,8,56,21.xyz,0.70127315,N/A,0.70127315,
22.xyz,8,8,56,22.xyz,0.777457284,N/A,0.777457284,
23.xyz,8,8,56,23.xyz,0.769078263,N/A,0.769078263,
24.xyz,8,8,56,24.xyz,0.708342309,N/A,0.708342309,
26.xyz,8,8,56,26.xyz,0.925141659,N/A,0.925141659,
27.xyz,8,8,56,27.xyz,0.697378484,N/A,0.697378484,
28.xyz,8,8,56,28.xyz,0.904279173,N/A,0.904279173,
29.xyz,8,8,56,29.xyz,0.797005182,N/A,0.797005182,
30.xyz,8,8,56,30.xyz,0.831659944,N/A,0.831659944,
31.xyz,8,8,56,31.xyz,0.782337038,N/A,0.782337038,
32.xyz,8,8,56,32.xyz,0.741612645,N/A,0.741612645,
33.xyz,8,8,56,33.xyz,0.881465941,N/A,0.881465941,
34.xyz,8,8,56,34.xyz,0.767797807,N/A,0.767797807,
35.xyz,8,8,56,35.xyz,0.965193924,N/A,0.965193924,
36.xyz,8,8,56,36.xyz,0.694136516,N/A,0.694136516,
37.xyz,8,8,56,37.xyz,0.917524558,N/A,0.917524558,
38.xyz,8,8,56,38.xyz,0.657493988,N/A,0.657493988,
39.xyz,8,8,56,39.xyz,0.948050197,N/A,0.948050197,
40.xyz,8,8,56,40.xyz,0.65961723,N/A,0.65961723,
42.xyz,8,8,56,42.xyz,0.654519822,N/A,0.654519822,
43.xyz,8,8,56,43.xyz,0.653009897,N/A,0.653009897,
44.xyz,8,8,56,44.xyz,0.63873374,N/A,0.63873374,
45.xyz,8,8,56,45.xyz,0.790145538,N/A,0.790145538,
Tetrahedrane.xyz,4,4,28,Tetrahedrane.xyz,0.642701133,0.642701133,0.637941627,
Triprismane.xyz,6,6,42,Triprismane.xyz,0.692169229,0.692169229,0.676476353,
Cubane.xyz,8,8,56,Cubane.xyz,0.716865995,N/A,0.716865995,
Pentaprismane.xyz,10,10,70,Pentaprismane.xyz,0.913118969,N/A,0.913118969,
Octahedrane.xyz,12,12,84,Octahedrane.xyz,1.296822667,N/A,1.296822667,
Tetrahedrane-Me.xyz,6,5,36,Tetrahedrane-Me.xyz,0.723596727,0.723596727,0.712783868,
Tetrahedrane-2Me.xyz,8,6,44,Tetrahedrane-2Me.xyz,0.798181668,0.798181668,0.781090713,
Tetrahedrane-3Me.xyz,10,7,52,Tetrahedrane-3Me.xyz,0.841475638,N/A,0.841475638,
Tetrahedrane-4Me.xyz,12,8,60,Tetrahedrane-4Me.xyz,0.893664014,N/A,0.893664014,
Tetrahedrane-Acetylene.xyz,4,6,40,Tetrahedrane-Acetylene.xyz,0.805658042,0.805658042,0.80421743,
Tetrahedrane-2Acetylene.xyz,4,8,52,Tetrahedrane-2Acetylene.xyz,0.962895824,N/A,0.962895824,
C14H14_cage_D7h.xyz,14,14,98,C14H14_cage_D7h.xyz,1.06494297,N/A,1.06494297,
C10H10_min_C3v_symm-fixed.xyz,10,10,70,C10H10_min_C3v_symm-fixed.xyz,0.906905986,N/A,0.906905986,
C8H8_min_Cs_D3zero_symm-fixed.xyz,8,8,56,C8H8_min_Cs_D3zero_symm-fixed.xyz,0.813178787,N/A,0.813178787,
Norbornylidene.xyz,6,7,48,Norbornylidene.xyz,0.657722144,0.657722144,0.635053577,
adamantane_td.xyz,16,10,76,adamantane_td.xyz,0.932313737,N/A,0.932313737,
diamantane_d3d.xyz,20,14,104,diamantane_d3d.xyz,1.308676012,N/A,1.308676012,
triamantane_c2v.xyz,24,18,132,triamantane_c2v.xyz,1.721115694,N/A,1.721115694,
C7H8_Toluene_Cs.xyz,8,7,50,C7H8_Toluene_Cs.xyz,0.627116165,N/A,0.627116165,
